YEAR,Region,Month,Precipitation
1852,Connecticut River,FEB,3.35
1852,Connecticut River,MAR,3.26
1852,Connecticut River,APR,4.71
1852,Connecticut River,MAY,2.3
1852,Connecticut River,JUN,2.54
1852,Connecticut River,JUL,3.38
1852,Connecticut River,AUG,5.19
1852,Connecticut River,SEP,2.48
1852,Connecticut River,OCT,1.76
1852,Connecticut River,NOV,6.43
1852,Connecticut River,DEC,4.88
1852,Northeast,JAN,5.8
1852,Northeast,FEB,1.76
1852,Northeast,MAR,4.42
1852,Northeast,APR,9.6
1852,Northeast,MAY,2.6
1852,Northeast,JUN,2
1852,Northeast,JUL,2.16
1852,Northeast,AUG,8.27
1852,Northeast,SEP,2.04
1852,Northeast,OCT,3.4
1852,Northeast,NOV,2.76
1852,Northeast,DEC,3.12
1853,Connecticut River,JAN,2.11
1853,Connecticut River,FEB,6.69
1853,Connecticut River,MAR,2.39
1853,Connecticut River,APR,3.79
1853,Connecticut River,MAY,5.4
1853,Connecticut River,JUN,2.64
1853,Connecticut River,JUL,3.59
1853,Connecticut River,AUG,7.13
1853,Connecticut River,SEP,5.66
1853,Connecticut River,OCT,3.75
1853,Connecticut River,NOV,6.24
1853,Connecticut River,DEC,1.84
1853,Northeast,JAN,3.68
1853,Northeast,FEB,6.56
1853,Northeast,MAR,2.92
1853,Northeast,APR,3.8
1853,Northeast,MAY,6.32
1853,Northeast,JUN,0.56
1853,Northeast,JUL,2.84
1853,Northeast,AUG,7.2
1853,Northeast,SEP,5.44
1853,Northeast,OCT,4.56
1853,Northeast,NOV,5.26
1853,Northeast,DEC,6.59
1854,Connecticut River,JAN,2.01
1854,Connecticut River,FEB,4.53
1854,Connecticut River,MAR,3.11
1854,Connecticut River,APR,8.33
1854,Connecticut River,MAY,3.19
1854,Connecticut River,JUN,1.75
1854,Connecticut River,JUL,3.53
1854,Connecticut River,AUG,0.99
1854,Connecticut River,SEP,5.46
1854,Connecticut River,OCT,2.31
1854,Connecticut River,NOV,7.48
1854,Connecticut River,DEC,2.39
1854,Northeast,JAN,2.45
1854,Northeast,FEB,5.16
1854,Northeast,MAR,4.16
1854,Northeast,APR,5.6
1854,Northeast,MAY,3.92
1854,Northeast,JUN,2.08
1854,Northeast,JUL,2.32
1854,Northeast,AUG,0.28
1854,Northeast,SEP,3.68
1854,Northeast,OCT,3.37
1854,Northeast,NOV,7.79
1854,Northeast,DEC,2.34
1855,Connecticut River,JAN,5.06
1855,Connecticut River,FEB,2.7
1855,Connecticut River,MAR,1.08
1855,Connecticut River,APR,3.85
1855,Connecticut River,MAY,1.49
1855,Connecticut River,JUN,5.19
1855,Connecticut River,JUL,6.1
1855,Connecticut River,AUG,2.55
1855,Connecticut River,SEP,0.55
1855,Connecticut River,OCT,10.08
1855,Connecticut River,NOV,4.12
1855,Connecticut River,DEC,5.41
1855,Northeast,JAN,6.455
1855,Northeast,FEB,4.505
1855,Northeast,MAR,1.605
1855,Northeast,APR,3.82
1855,Northeast,MAY,0.94
1855,Northeast,JUN,2.91
1855,Northeast,JUL,4.31
1855,Northeast,AUG,1.595
1855,Northeast,SEP,0.615
1855,Northeast,OCT,5.025
1855,Northeast,NOV,4.525
1855,Northeast,DEC,5.375
1856,Connecticut River,JAN,2.48
1856,Connecticut River,FEB,0.79
1856,Connecticut River,MAR,1.12
1856,Connecticut River,APR,2.51
1856,Connecticut River,MAY,5.31
1856,Connecticut River,JUN,1.92
1856,Connecticut River,JUL,1.96
1856,Connecticut River,AUG,12.13
1856,Connecticut River,SEP,3.47
1856,Connecticut River,OCT,1.4
1856,Connecticut River,NOV,2.85
1856,Connecticut River,DEC,4.19
1856,Northeast,JAN,2.36667
1856,Northeast,FEB,1.20333
1856,Northeast,MAR,1.02
1856,Northeast,APR,3.84667
1856,Northeast,MAY,6.64667
1856,Northeast,JUN,2.22667
1856,Northeast,JUL,2.00667
1856,Northeast,AUG,13.98
1856,Northeast,SEP,4.81333
1856,Northeast,OCT,3.05333
1856,Northeast,NOV,2.76333
1856,Northeast,DEC,4.56333
1857,Connecticut River,JAN,3.55
1857,Connecticut River,FEB,2.41
1857,Connecticut River,MAR,2.12
1857,Connecticut River,APR,7.68
1857,Connecticut River,MAY,6.82
1857,Connecticut River,JUN,2.66
1857,Connecticut River,JUL,4.98
1857,Connecticut River,AUG,3.14
1857,Connecticut River,SEP,3.04
1857,Connecticut River,OCT,3.88
1857,Connecticut River,NOV,2.07
1857,Connecticut River,DEC,5.31
1857,Northeast,JAN,2.965
1857,Northeast,FEB,2.375
1857,Northeast,MAR,2.235
1857,Northeast,APR,9.5
1857,Northeast,MAY,5.455
1857,Northeast,JUN,3.505
1857,Northeast,JUL,7.1
1857,Northeast,AUG,5.975
1857,Northeast,SEP,3.64
1857,Northeast,OCT,6.415
1857,Northeast,NOV,2.735
1857,Northeast,DEC,5.67
1858,Connecticut River,JAN,3.52
1858,Connecticut River,FEB,1.6
1858,Connecticut River,MAR,0.8
1858,Connecticut River,APR,3.2
1858,Connecticut River,MAY,2.98
1858,Connecticut River,JUN,4.62
1858,Connecticut River,JUL,6.73
1858,Connecticut River,AUG,4.82
1858,Connecticut River,SEP,4.14
1858,Connecticut River,OCT,3.86
1858,Connecticut River,NOV,2.16
1858,Connecticut River,DEC,3.16
1858,Northeast,JAN,2.595
1858,Northeast,FEB,2.55
1858,Northeast,MAR,2.695
1858,Northeast,APR,4.3
1858,Northeast,MAY,2.88
1858,Northeast,JUN,7.785
1858,Northeast,JUL,3.35
1858,Northeast,AUG,4.92
1858,Northeast,SEP,4.375
1858,Northeast,OCT,2.61
1858,Northeast,NOV,2.085
1858,Northeast,DEC,3.05
1859,Connecticut River,JAN,4.89
1859,Connecticut River,FEB,3.54
1859,Connecticut River,MAR,6.27
1859,Connecticut River,APR,2.96
1859,Connecticut River,MAY,4.08
1859,Connecticut River,JUN,6.16
1859,Connecticut River,JUL,2.61
1859,Connecticut River,AUG,6.65
1859,Connecticut River,SEP,4.47
1859,Connecticut River,OCT,1.85
1859,Connecticut River,NOV,2.96
1859,Connecticut River,DEC,4.85
1859,Northeast,JAN,5.315
1859,Northeast,FEB,3.355
1859,Northeast,MAR,8.805
1859,Northeast,APR,2.135
1859,Northeast,MAY,3.445
1859,Northeast,JUN,4.67
1859,Northeast,JUL,1.095
1859,Northeast,AUG,5.56
1859,Northeast,SEP,4.25
1859,Northeast,OCT,1.255
1859,Northeast,NOV,3.315
1859,Northeast,DEC,5.51
1860,Connecticut River,JAN,1.21
1860,Connecticut River,FEB,2.93
1860,Connecticut River,MAR,1.58
1860,Connecticut River,APR,1.28
1860,Connecticut River,MAY,4.57
1860,Connecticut River,JUN,3.57
1860,Connecticut River,JUL,6.13
1860,Connecticut River,AUG,2.68
1860,Connecticut River,SEP,6.12
1860,Connecticut River,OCT,2.18
1860,Connecticut River,NOV,3.52
1860,Connecticut River,DEC,3.84
1860,Northeast,JAN,1.02
1860,Northeast,FEB,3.12
1860,Northeast,MAR,2.06
1860,Northeast,APR,1.67
1860,Northeast,MAY,1.915
1860,Northeast,JUN,8
1860,Northeast,JUL,6.685
1860,Northeast,AUG,4.595
1860,Northeast,SEP,9.94
1860,Northeast,OCT,2.11
1860,Northeast,NOV,4.84
1860,Northeast,DEC,5.1
1861,Connecticut River,JAN,4.34
1861,Connecticut River,FEB,3.28
1861,Connecticut River,MAR,3.76
1861,Connecticut River,APR,5.65
1861,Connecticut River,MAY,4.45
1861,Connecticut River,JUN,2.69
1861,Connecticut River,JUL,5.23
1861,Connecticut River,AUG,4.1
1861,Connecticut River,SEP,2.75
1861,Connecticut River,OCT,4.53
1861,Connecticut River,NOV,3.93
1861,Connecticut River,DEC,2.17
1861,Northeast,JAN,3.83
1861,Northeast,FEB,3.17
1861,Northeast,MAR,3.66
1861,Northeast,APR,5.415
1861,Northeast,MAY,3.59
1861,Northeast,JUN,2.29
1861,Northeast,JUL,2.355
1861,Northeast,AUG,6.28
1861,Northeast,SEP,2.4
1861,Northeast,OCT,3.495
1861,Northeast,NOV,4.91
1861,Northeast,DEC,2.8
1862,Connecticut River,JAN,5.25
1862,Connecticut River,FEB,2.84
1862,Connecticut River,MAR,4.3
1862,Connecticut River,APR,2.28
1862,Connecticut River,MAY,2.33
1862,Connecticut River,JUN,11.69
1862,Connecticut River,JUL,5.12
1862,Connecticut River,AUG,2.98
1862,Connecticut River,SEP,2.12
1862,Connecticut River,OCT,3.28
1862,Connecticut River,NOV,4.76
1862,Connecticut River,DEC,1.91
1862,Northeast,JAN,6.92
1862,Northeast,FEB,1.88
1862,Northeast,MAR,4.69
1862,Northeast,APR,2.035
1862,Northeast,MAY,2.305
1862,Northeast,JUN,6.175
1862,Northeast,JUL,5.87
1862,Northeast,AUG,1.99
1862,Northeast,SEP,2.4
1862,Northeast,OCT,4.175
1862,Northeast,NOV,6.385
1862,Northeast,DEC,2.325
1863,Connecticut River,JAN,5.05
1863,Connecticut River,FEB,4.43
1863,Connecticut River,MAR,5.6
1863,Connecticut River,APR,2.33
1863,Connecticut River,MAY,3.59
1863,Connecticut River,JUN,4.09
1863,Connecticut River,JUL,8.64
1863,Connecticut River,AUG,6.11
1863,Connecticut River,SEP,2.16
1863,Connecticut River,OCT,4.04
1863,Connecticut River,NOV,5.28
1863,Connecticut River,DEC,4.87
1863,Northeast,JAN,4.065
1863,Northeast,FEB,3.79
1863,Northeast,MAR,4.265
1863,Northeast,APR,9.045
1863,Northeast,MAY,2.31
1863,Northeast,JUN,1.795
1863,Northeast,JUL,12.175
1863,Northeast,AUG,6.135
1863,Northeast,SEP,3.145
1863,Northeast,OCT,4.27
1863,Northeast,NOV,7.425
1863,Northeast,DEC,5.135
1864,Connecticut River,JAN,2.2
1864,Connecticut River,FEB,1.12
1864,Connecticut River,MAR,2.58
1864,Connecticut River,APR,2.57
1864,Connecticut River,MAY,2.54
1864,Connecticut River,JUN,1.38
1864,Connecticut River,JUL,0.96
1864,Connecticut River,AUG,4.4
1864,Connecticut River,SEP,2.92
1864,Connecticut River,OCT,2.94
1864,Connecticut River,NOV,6.2
1864,Connecticut River,DEC,4.63
1864,Northeast,JAN,3.005
1864,Northeast,FEB,0.98
1864,Northeast,MAR,8.43
1864,Northeast,APR,3.805
1864,Northeast,MAY,2.825
1864,Northeast,JUN,0.825
1864,Northeast,JUL,1.44
1864,Northeast,AUG,3.55
1864,Northeast,SEP,2.21
1864,Northeast,OCT,5.17
1864,Northeast,NOV,4.775
1864,Northeast,DEC,4.61
1865,Connecticut River,JAN,3.48
1865,Connecticut River,FEB,2.88
1865,Connecticut River,MAR,5.98
1865,Connecticut River,APR,2.9
1865,Connecticut River,MAY,7.89
1865,Connecticut River,JUN,2.94
1865,Connecticut River,JUL,3.72
1865,Connecticut River,AUG,1.86
1865,Connecticut River,SEP,0.37
1865,Connecticut River,OCT,4.98
1865,Connecticut River,NOV,2.45
1865,Connecticut River,DEC,3.54
1865,Northeast,JAN,4.49
1865,Northeast,FEB,4.09
1865,Northeast,MAR,4.885
1865,Northeast,APR,2.21
1865,Northeast,MAY,7.285
1865,Northeast,JUN,1.385
1865,Northeast,JUL,2.485
1865,Northeast,AUG,3.075
1865,Northeast,SEP,1.11
1865,Northeast,OCT,6.075
1865,Northeast,NOV,3.915
1865,Northeast,DEC,3.14
1866,Connecticut River,JAN,1.36
1866,Connecticut River,FEB,4.62
1866,Connecticut River,MAR,3.16
1866,Connecticut River,APR,2.03
1866,Connecticut River,MAY,4.48
1866,Connecticut River,JUN,5.66
1866,Connecticut River,JUL,4.02
1866,Connecticut River,AUG,3.96
1866,Connecticut River,SEP,4.71
1866,Connecticut River,OCT,3.38
1866,Connecticut River,NOV,3.86
1866,Connecticut River,DEC,3.57
1866,Northeast,JAN,1.68
1866,Northeast,FEB,5.25
1866,Northeast,MAR,3.76
1866,Northeast,APR,2.395
1866,Northeast,MAY,5.47
1866,Northeast,JUN,3.73
1866,Northeast,JUL,9.455
1866,Northeast,AUG,3.83
1866,Northeast,SEP,6.085
1866,Northeast,OCT,2.535
1866,Northeast,NOV,3.615
1866,Northeast,DEC,4.03
1867,Connecticut River,JAN,1.32
1867,Connecticut River,FEB,3.65
1867,Connecticut River,MAR,3.12
1867,Connecticut River,APR,3.79
1867,Connecticut River,MAY,4.61
1867,Connecticut River,JUN,5.67
1867,Connecticut River,JUL,4
1867,Connecticut River,AUG,9.16
1867,Connecticut River,SEP,1.11
1867,Connecticut River,OCT,3.85
1867,Connecticut River,NOV,4.31
1867,Connecticut River,DEC,1.51
1867,Northeast,JAN,3.71
1867,Northeast,FEB,4.625
1867,Northeast,MAR,5.37
1867,Northeast,APR,2.54
1867,Northeast,MAY,5.1
1867,Northeast,JUN,3.105
1867,Northeast,JUL,4.99
1867,Northeast,AUG,11.01
1867,Northeast,SEP,0.785
1867,Northeast,OCT,5.32
1867,Northeast,NOV,2.675
1867,Northeast,DEC,1.825
1868,Connecticut River,JAN,3.52
1868,Connecticut River,FEB,1.03
1868,Connecticut River,MAR,3.25
1868,Connecticut River,APR,4.27
1868,Connecticut River,MAY,7.86
1868,Connecticut River,JUN,2.44
1868,Connecticut River,JUL,3.28
1868,Connecticut River,AUG,5.67
1868,Connecticut River,SEP,10.63
1868,Connecticut River,OCT,1.37
1868,Connecticut River,NOV,4.8
1868,Connecticut River,DEC,1.47
1868,Northeast,JAN,3.605
1868,Northeast,FEB,1.19
1868,Northeast,MAR,2.93
1868,Northeast,APR,5.59
1868,Northeast,MAY,8.575
1868,Northeast,JUN,3.7
1868,Northeast,JUL,1.51
1868,Northeast,AUG,5.11
1868,Northeast,SEP,9.66
1868,Northeast,OCT,1.08
1868,Northeast,NOV,5.735
1868,Northeast,DEC,0.95
1869,Connecticut River,JAN,3.47
1869,Connecticut River,FEB,4.14
1869,Connecticut River,MAR,5.46
1869,Connecticut River,APR,1.53
1869,Connecticut River,MAY,5.65
1869,Connecticut River,JUN,5.99
1869,Connecticut River,JUL,2.98
1869,Connecticut River,AUG,1.04
1869,Connecticut River,SEP,4.32
1869,Connecticut River,OCT,11.36
1869,Connecticut River,NOV,2.59
1869,Connecticut River,DEC,4.96
1869,Northeast,JAN,3.47
1869,Northeast,FEB,6.545
1869,Northeast,MAR,6.58
1869,Northeast,APR,2.025
1869,Northeast,MAY,6.505
1869,Northeast,JUN,4.06
1869,Northeast,JUL,1.96
1869,Northeast,AUG,1.96
1869,Northeast,SEP,6.66
1869,Northeast,OCT,8.19
1869,Northeast,NOV,2.97
1869,Northeast,DEC,5.725
1870,Connecticut River,JAN,5.87
1870,Connecticut River,FEB,5.25
1870,Connecticut River,MAR,2.71
1870,Connecticut River,APR,3.7
1870,Connecticut River,MAY,1.72
1870,Connecticut River,JUN,2.73
1870,Connecticut River,JUL,2.53
1870,Connecticut River,AUG,2.83
1870,Connecticut River,SEP,1.75
1870,Connecticut River,OCT,4.49
1870,Connecticut River,NOV,3.28
1870,Connecticut River,DEC,1.84
1870,Northeast,JAN,7.47
1870,Northeast,FEB,4.77
1870,Northeast,MAR,5.915
1870,Northeast,APR,7.645
1870,Northeast,MAY,2.595
1870,Northeast,JUN,4.245
1870,Northeast,JUL,2.54
1870,Northeast,AUG,2.715
1870,Northeast,SEP,1.08
1870,Northeast,OCT,6.52
1870,Northeast,NOV,3.645
1870,Northeast,DEC,3.16
1871,Connecticut River,JAN,1.96
1871,Connecticut River,FEB,2.91
1871,Connecticut River,MAR,3.99
1871,Connecticut River,APR,3.09
1871,Connecticut River,MAY,3.82
1871,Connecticut River,JUN,6.58
1871,Connecticut River,JUL,3.52
1871,Connecticut River,AUG,6.45
1871,Connecticut River,SEP,1.3
1871,Connecticut River,OCT,6.09
1871,Connecticut River,NOV,3.51
1871,Connecticut River,DEC,2.67
1871,Northeast,JAN,1.38333
1871,Northeast,FEB,2.55
1871,Northeast,MAR,4.45
1871,Northeast,APR,3.14333
1871,Northeast,MAY,4.64667
1871,Northeast,JUN,5.39333
1871,Northeast,JUL,2.93333
1871,Northeast,AUG,4.03
1871,Northeast,SEP,1.29667
1871,Northeast,OCT,5.20667
1871,Northeast,NOV,6.78
1871,Northeast,DEC,3.05667
1872,Central,JAN,1.8
1872,Central,FEB,1.28
1872,Central,MAR,3.51
1872,Central,APR,1.52
1872,Central,MAY,2.88
1872,Central,JUN,4.1
1872,Central,JUL,5.4
1872,Central,AUG,8.08
1872,Central,SEP,5.48
1872,Central,OCT,3.32
1872,Central,NOV,4.05
1872,Central,DEC,3.28
1872,Connecticut River,JAN,1.51
1872,Connecticut River,FEB,1.89
1872,Connecticut River,MAR,2.87
1872,Connecticut River,APR,2.2
1872,Connecticut River,MAY,3.11
1872,Connecticut River,JUN,3.25
1872,Connecticut River,JUL,7.07
1872,Connecticut River,AUG,5.28
1872,Connecticut River,SEP,6.2
1872,Connecticut River,OCT,3.64
1872,Connecticut River,NOV,4.48
1872,Connecticut River,DEC,2.69
1872,Northeast,JAN,2.02
1872,Northeast,FEB,2.03
1872,Northeast,MAR,3.62667
1872,Northeast,APR,1.6
1872,Northeast,MAY,3.3
1872,Northeast,JUN,4.94333
1872,Northeast,JUL,4.21
1872,Northeast,AUG,9.87
1872,Northeast,SEP,5.32
1872,Northeast,OCT,3.835
1872,Northeast,NOV,4.06
1872,Northeast,DEC,3.4425
1873,Central,JAN,1.66
1873,Central,FEB,4.62
1873,Central,MAR,2.04
1873,Central,APR,3.18
1873,Central,MAY,4.2
1873,Central,JUN,0.2
1873,Central,JUL,2.96
1873,Central,AUG,5.96
1873,Central,SEP,2.98
1873,Central,OCT,6.22
1873,Central,NOV,3.88
1873,Central,DEC,4.5
1873,Connecticut River,JAN,5.01
1873,Connecticut River,FEB,2.17
1873,Connecticut River,MAR,3.13
1873,Connecticut River,APR,1.74
1873,Connecticut River,MAY,3.91
1873,Connecticut River,JUN,1.59
1873,Connecticut River,JUL,2.93
1873,Connecticut River,AUG,3.47
1873,Connecticut River,SEP,4.77
1873,Connecticut River,OCT,6.36
1873,Connecticut River,NOV,3.51
1873,Connecticut River,DEC,3.31
1873,Northeast,JAN,4.98
1873,Northeast,FEB,2.86
1873,Northeast,MAR,3.7725
1873,Northeast,APR,2.8575
1873,Northeast,MAY,3.7675
1873,Northeast,JUN,0.5125
1873,Northeast,JUL,3.5675
1873,Northeast,AUG,5.3775
1873,Northeast,SEP,3.4475
1873,Northeast,OCT,5.06
1873,Northeast,NOV,5.6575
1873,Northeast,DEC,4.2575
1874,Central,JAN,4.46
1874,Central,FEB,4.08
1874,Central,MAR,1.42
1874,Central,APR,6.7
1874,Central,MAY,2.96
1874,Central,JUN,3.48
1874,Central,JUL,4.24
1874,Central,AUG,5.36
1874,Central,SEP,1.68
1874,Central,OCT,0.68
1874,Central,NOV,2.2
1874,Central,DEC,2.39
1874,Connecticut River,JAN,5.46
1874,Connecticut River,FEB,2.19
1874,Connecticut River,MAR,1.35
1874,Connecticut River,APR,6.03
1874,Connecticut River,MAY,5.22
1874,Connecticut River,JUN,5.06
1874,Connecticut River,JUL,11.58
1874,Connecticut River,AUG,2.69
1874,Connecticut River,SEP,1.82
1874,Connecticut River,OCT,1.85
1874,Connecticut River,NOV,3.54
1874,Connecticut River,DEC,1.17
1874,Northeast,JAN,3.28167
1874,Northeast,FEB,2.805
1874,Northeast,MAR,1.495
1874,Northeast,APR,7.05667
1874,Northeast,MAY,3.66667
1874,Northeast,JUN,3.35
1874,Northeast,JUL,4.12
1874,Northeast,AUG,6.58167
1874,Northeast,SEP,1.69
1874,Northeast,OCT,1.12833
1874,Northeast,NOV,2.23167
1874,Northeast,DEC,1.98333
1874,Southeast,JAN,3.38895
1874,Southeast,FEB,3.14181
1874,Southeast,MAR,3.65367
1874,Southeast,APR,3.58774
1874,Southeast,MAY,3.49
1874,Southeast,JUN,2.08
1874,Southeast,JUL,2.85
1874,Southeast,AUG,9.07
1874,Southeast,SEP,1.84
1874,Southeast,OCT,1.54
1874,Southeast,NOV,1.95
1874,Southeast,DEC,2.31
1875,Central,JAN,2.46
1875,Central,FEB,4.58
1875,Central,MAR,4.5
1875,Central,APR,4.08
1875,Central,MAY,2.8
1875,Central,JUN,4.66
1875,Central,JUL,2.64
1875,Central,AUG,4
1875,Central,SEP,2.26
1875,Central,OCT,4.74
1875,Central,NOV,4.98
1875,Central,DEC,0.88
1875,Connecticut River,JAN,2.9
1875,Connecticut River,FEB,3.62
1875,Connecticut River,MAR,4.2
1875,Connecticut River,APR,3.33
1875,Connecticut River,MAY,2.19
1875,Connecticut River,JUN,3.44
1875,Connecticut River,JUL,6.42
1875,Connecticut River,AUG,6.815
1875,Connecticut River,SEP,3.91
1875,Connecticut River,OCT,3.77
1875,Connecticut River,NOV,4
1875,Connecticut River,DEC,1.16
1875,Northeast,JAN,3.18714
1875,Northeast,FEB,3.01571
1875,Northeast,MAR,4.77286
1875,Northeast,APR,3.57
1875,Northeast,MAY,3.58429
1875,Northeast,JUN,6.20857
1875,Northeast,JUL,3.18429
1875,Northeast,AUG,4.33857
1875,Northeast,SEP,3.43857
1875,Northeast,OCT,5.12429
1875,Northeast,NOV,5.08571
1875,Northeast,DEC,0.95571
1875,Southeast,JAN,7.64
1875,Southeast,FEB,4.21
1875,Southeast,MAR,3.75
1875,Southeast,APR,5.4
1875,Southeast,MAY,2.9
1875,Southeast,JUN,2.48
1875,Southeast,JUL,3.37
1875,Southeast,AUG,4.63
1875,Southeast,SEP,1.69
1875,Southeast,OCT,2.62
1875,Southeast,NOV,2.96
1875,Southeast,DEC,1.67
1876,Central,JAN,1.56
1876,Central,FEB,3.92
1876,Central,MAR,9.64
1876,Central,APR,4.92
1876,Central,MAY,2.56
1876,Central,JUN,1.9
1876,Central,JUL,5.38
1876,Central,AUG,0.68
